pregunta,respuesta_esperada,respuesta_generada_por_chatclinica_bleu,respuesta_generada_por_chatclinica_rouge_l,respuesta_generada_por_chatclinica_coseno,respuesta_generada_por_chatclinica_bertscore_f1
¿De qué tamaño debe ser el consultorio dental?,El área mínima para consultorios odontológicos es de 14 metros cuadrados según la Resolución Ministerial N° 999-2016/MINSA incluyendo equipo de Rayos X.,0.032137904045121436,0.15094339622641512,0.6043120622634888,0.7185667753219604
¿Es obligatorio tener un baño en el consultorio?,Sí es obligatorio contar con servicios higiénicos para pacientes accesibles desde el área de atención puede ser compartido en consultorios pequeños.,0.03567139234299862,0.2857142857142857,0.840076744556427,0.741662859916687
¿Cuántas unidades dentales puedo tener?,Una unidad dental por cada 14 m² de área de atención para múltiples unidades se requiere mayor metraje y categorización especial.,0.013672924271323763,0.14634146341463414,0.7093300223350525,0.7279049158096313
¿Debo tener un área de esterilización?,Sí es obligatorio contar con área específica para esterilización y desinfección del instrumental separada del área de atención directa al paciente.,0.03279352126461887,0.19607843137254902,0.5777374505996704,0.720220148563385
¿La sala de espera es obligatoria?,Sí se requiere área de espera para pacientes que puede ser compartida entre consultorios en el caso de centros odontológicos múltiples.,0.015848207591271795,0.13043478260869565,0.7335625290870667,0.6818200945854187
¿Qué requisitos debe cumplir la sala de procedimientos?,Debe tener 14 m² mínimo ventilación adecuada iluminación natural y artificial lavamanos con pedal y acabados lisos lavables en paredes y pisos.,0.01737802259954691,0.2608695652173913,0.5578209161758423,0.7497591376304626
¿Qué metraje mínimo se exige por unidad dental?,Se exige 14 metros cuadrados mínimos por unidad dental según normativa MINSA vigente incluyendo espacio para equipo de rayos X opcional.,0.08062554435318109,0.3333333333333333,0.7754073739051819,0.7678954601287842
¿Qué condiciones debe tener el área de esterilización?,Debe estar separada del área clínica contar con ventilación adecuada superficies lisas lavables y espacio suficiente para autoclave y almacenamiento estéril.,0.035477283548959425,0.32,0.7942818403244019,0.77642822265625
¿Cuántos consultorios puede tener un centro odontológico privado?,No hay límite específico pero cada consultorio debe cumplir requisitos individuales y el centro requiere categorización especial según cantidad de consultorios.,0.014739525080247517,0.11764705882352941,0.6633909344673157,0.7526068687438965
¿Cuál es el área mínima para un consultorio de ortodoncia?,El área mínima es igual que otros consultorios odontológicos 14 metros cuadrados pero puede requerir espacio adicional para equipos especializados.,0.036142581653618715,0.24489795918367346,0.6598910093307495,0.7703843712806702
¿Qué equipamiento es obligatorio en un consultorio dental?,Unidad dental completa autoclave lavamanos con pedal mobiliario básico instrumental odontológico equipo de rayos X opcional según discreción del profesional.,0.13264759167412227,0.22222222222222224,0.7673689126968384,0.7597746849060059
¿Debo tener autoclave o esterilizador específico?,Sí es obligatorio contar con equipo de esterilización autoclave de vapor o esterilizador por calor seco para garantizar bioseguridad instrumental.,0.01715966518643024,0.046511627906976744,0.6401101350784302,0.7050906419754028
¿Es necesario contar con lavamanos en cada consultorio?,Sí es obligatorio tener lavamanos con accionamiento a pedal en cada consultorio para el lavado de manos del personal sanitario.,0.04080467012111698,0.2608695652173913,0.4031710922718048,0.7402622103691101
¿Qué mobiliario debe estar presente en la sala de espera?,Sillas suficientes para pacientes mesa o superficie para revistas iluminación adecuada ventilación y señalización informativa básica para pacientes en espera.,0.016475111107446542,0.16666666666666666,0.5299665927886963,0.7309377789497375
¿Qué características debe tener la iluminación del consultorio?,Debe contar con iluminación natural y artificial adecuada lámpara de luz fría en unidad dental y distribución uniforme sin generar sombras.,0.03876660342461716,0.20408163265306126,0.7321876287460327,0.7651265263557434
¿Qué licencia municipal necesito para abrir un consultorio dental?,Licencia de funcionamiento del establecimiento tramitada en municipalidad respectiva certificado de zonificación certificado de defensa civil y planos del establecimiento.,0.0,0.0,0.1514938920736313,0.6067025661468506
¿Necesito autorización del Ministerio de Salud?,Sí requiere categorización en RENAES autorización sanitaria de DIRESA/GERESA correspondiente contar con RUC y cumplir normativa sanitaria vigente del MINSA.,0.0,0.0,0.05942545086145401,0.6410500407218933
¿Cuáles son los requisitos del Colegio Odontológico del Perú?,Colegiatura vigente del cirujano dentista certificado de habilitación profesional actualizado y cumplimiento de normas éticas y técnicas del COP.,0.0,0.0,0.07870668172836304,0.6094055771827698
¿Qué normas técnicas debo cumplir para operar legalmente?,Resolución Ministerial N° 999-2016/MINSA normas de bioseguridad gestión de residuos sanitarios categorización RENAES y normativa municipal de funcionamiento.,0.017910634987255415,0.21739130434782608,0.6288338303565979,0.6384050846099854
¿Es obligatorio tener un libro de reclamaciones?,Sí es obligatorio tener libro de reclamaciones físico o virtual disponible para pacientes según normativa de protección al consumidor INDECOPI.,0.10423151396043151,0.425531914893617,0.6547081470489502,0.7924200892448425
¿Es necesario tener un protocolo de bioseguridad?,Sí es obligatorio implementar protocolos de bioseguridad manejo de instrumental estéril gestión de residuos biocontaminados y medidas de protección personal.,0.037066358728431954,0.27906976744186046,0.5838920474052429,0.7092582583427429
¿Qué materiales son obligatorios para la gestión de residuos?,Contenedores rígidos para material punzocortante bolsas rojas para residuos biocontaminados registro de generación y manejo de residuos sanitarios específicos.,0.020350410338249966,0.22222222222222224,0.6333010196685791,0.7442145347595215
¿Debo contar con señalización de seguridad interna?,Sí debe tener señalización de seguridad rutas de evacuación ubicación de extintores señales de prohibición y advertencia según normativa de defensa civil.,0.05706247623192221,0.2857142857142857,0.6734282374382019,0.7255866527557373
¿El consultorio debe tener ventilación natural?,Sí debe contar con ventilación natural adecuada o sistema de ventilación mecánica para garantizar renovación de aire y condiciones sanitarias óptimas.,0.03899828881387779,0.4313725490196078,0.7971383333206177,0.8143401741981506
¿Puede atender un técnico dental en lugar de un odontólogo?,No la atención clínica directa debe ser realizada únicamente por cirujanos dentistas colegiados y habilitados técnicos solo funciones de apoyo.,0.035247858975832255,0.20833333333333331,0.6649419665336609,0.731373131275177
¿Cuántos odontólogos pueden trabajar en un solo consultorio?,No hay límite específico pero cada profesional debe estar colegiado habilitado y registrado en el establecimiento ante autoridades sanitarias correspondientes.,0.014886943406383508,0.12499999999999997,0.5551360845565796,0.7144653797149658
¿Es obligatorio llevar historia clínica de cada paciente?,Sí es obligatorio mantener historia clínica de cada paciente física o digital cumpliendo estándares de confidencialidad conservación y normativa sanitaria.,0.03370530328619052,0.1702127659574468,0.7326041460037231,0.7327834963798523
¿Puedo contratar personal administrativo sin título en salud?,Sí el personal administrativo no requiere título en salud pero debe cumplir funciones específicas sin realizar actividades clínicas o sanitarias directas.,0.08929790278481002,0.4166666666666667,0.7946425676345825,0.810157299041748
¿Puedo operar un consultorio dental en mi domicilio?,Sí es posible si cumples requisitos técnicos sanitarios zonificación municipal compatible con uso comercial/profesional y autorizaciones correspondientes del MINSA.,0.018217034748905674,0.21739130434782608,0.6323000192642212,0.733112096786499
¿Qué pasa si no cumplo con las normas de infraestructura?,Las sanciones incluyen multas económicas clausura temporal o definitiva inhabilitación profesional y responsabilidad civil y penal en caso de daños.,0.016397406702643936,0.28571428571428575,0.7728423476219177,0.757466197013855
